Gene	Gene description	Protein class	RNA cancer category	RNA TS TPM
TRAT1	T-cell receptor associated transmembrane adaptor 1	Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 14.0;lymph node: 26.4
TREM1	Triggering receptor expressed on myeloid cells 1	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Tissue enhanced	appendix: 67.7;bone marrow: 63.0;lung: 103.1
TREML1	Triggering receptor expressed on myeloid cells like 1	Plasma proteins, Predicted membrane proteins	Mixed	bone marrow: 5.0;lymph node: 6.5
TREML2	Triggering receptor expressed on myeloid cells like 2	Plasma proteins, Predicted membrane proteins	Mixed	appendix: 9.3;bone marrow: 10.0;lymph node: 11.9
TROAP	Trophinin associated protein	Predicted intracellular proteins	Mixed	bone marrow: 32.0;testis: 44.1
TSPAN32	Tetraspanin 32	Predicted membrane proteins	Mixed	bone marrow: 12.0;heart muscle: 7.6
TTC24	Tetratricopeptide repeat domain 24	Predicted intracellular proteins	Not detected	lymph node: 6.4;spleen: 3.8;tonsil: 4.2
TXK	TXK tyrosine kinase	Enzymes, Predicted intracellular proteins	Mixed	lymph node: 17.9
TYMP	Thymidine phosphorylase	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Expressed in all	appendix: 100.6
UBASH3A	Ubiquitin associated and SH3 domain containing A	Predicted intracellular proteins	Mixed	lymph node: 12.5
UBASH3B	Ubiquitin associated and SH3 domain containing B	Enzymes, Predicted intracellular proteins	Mixed	placenta: 19.6;spleen: 21.3
UBD	Ubiquitin D	Predicted intracellular proteins	Expressed in all	lymph node: 94.9;tonsil: 92.5
UHRF1	Ubiquitin like with PHD and ring finger domains 1	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Expressed in all	lymph node: 18.8
VAV1	Vav guanine nucleotide exchange factor 1	Plasma proteins, Predicted intracellular proteins	Expressed in all	lymph node: 57.6
VCAN	Versican	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Expressed in all	appendix: 105.5;placenta: 104.6
VNN2	Vanin 2	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	spleen: 76.9
VNN3	Vanin 3	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Tissue enhanced	bone marrow: 35.3;liver: 15.2
VPREB3	Pre-B lymphocyte 3	Predicted secreted proteins	Expressed in all	lymph node: 117.3;tonsil: 95.8
WAS	Wiskott-Aldrich syndrome	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Expressed in all	appendix: 69.0;lymph node: 60.8;spleen: 68.8
WDFY4	WDFY family member 4	Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 33.0;spleen: 23.8
WDR86	WD repeat domain 86	Predicted intracellular proteins	Tissue enhanced	parathyroid gland: 20.9;spleen: 14.3
WSCD1	WSC domain containing 1	Predicted intracellular proteins, Predicted secreted proteins	Group enriched	cerebral cortex: 30.3;spleen: 19.0
XCL1	X-C motif chemokine ligand 1	Predicted secreted proteins	Mixed	spleen: 5.7
XCL2	X-C motif chemokine ligand 2	Predicted secreted proteins	Mixed	spleen: 14.1
XCR1	X-C motif chemokine receptor 1	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Mixed	lymph node: 10.8
XXbac-BPG246D15.9		Predicted membrane proteins	Not detected	appendix: 15.5;spleen: 9.5
YOD1	YOD1 deubiquitinase	Enzymes, Predicted intracellular proteins	Expressed in all	bone marrow: 37.1
ZAP70	Zeta chain of T-cell receptor associated protein kinase 70	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Mixed	appendix: 36.2;lymph node: 64.3;spleen: 37.7
ZC3H12A	Zinc finger CCCH-type containing 12A	Disease related genes, Predicted intracellular proteins	Expressed in all	bone marrow: 84.3
ZC3H12D	Zinc finger CCCH-type containing 12D	Disease related genes, Predicted intracellular proteins	Mixed	appendix: 9.6;lymph node: 11.5;tonsil: 11.6
ZNF101	Zinc finger protein 101	Predicted intracellular proteins, Transcription factors	Expressed in all	lymph node: 31.4
ZNF367	Zinc finger protein 367	Predicted intracellular proteins	Expressed in all	bone marrow: 16.0
ZNF831	Zinc finger protein 831	Predicted intracellular proteins	Not detected	lymph node: 7.1
